No,Kabupaten/Kota,Nama Destinasi
1,Kabupaten Bangkalan,Agro Edu Wisata Kebun Bang Jani
2,Kabupaten Bangkalan,Pantai Rindu
3,Kabupaten Bangkalan,Wisata Alam Kesek
4,Kabupaten Bangkalan,Pandela (Pantai Desa Lajing)
5,Kabupaten Bangkalan,Makam Agung Arosbaya
6,Kabupaten Bangkalan,Pantai Biru
7,Kabupaten Bangkalan,Api Alam Konang
8,Kabupaten Bangkalan,Air Terjun Kokop Dhurjan
9,Kabupaten Bangkalan,Bukit Kapur Parseh
10,Kabupaten Bangkalan,Gunung Geger
11,Kabupaten Bangkalan,Hutan Mangrove Labuhan
12,Kabupaten Bangkalan,Pantai Biru
13,Kabupaten Bangkalan,Pantai Meneron
14,Kabupaten Bangkalan,Pantai Rongkang
15,Kabupaten Bangkalan,Pantai Siring Kemuning
16,Kabupaten Bangkalan,Pantai Lobuk Bumi Anyar
17,Kabupaten Bangkalan,Mercusuar
18,Kabupaten Bangkalan,Goa Pelanglangan
19,Kabupaten Bangkalan,Situs Benteng Erfprins
20,Kabupaten Bangkalan,Taman Rekreasi Kota Bangkalan
21,Kabupaten Bangkalan,Stadion Kerapan Sapi R.P Moh Noer
22,Kabupaten Bangkalan,Kolla Langgundih
23,Kabupaten Bangkalan,Makam Aer Mata Ebu
24,Kabupaten Bangkalan,Makam Sultan Abdul Kadirun
25,Kabupaten Bangkalan,Makam Sunan Cendana
26,Kabupaten Bangkalan,Makam Syechona Cholil
27,Kabupaten Bangkalan,Museum Bangkalan Cakraningrat
28,Kabupaten Banyuwangi,Desa Wisata Tamansari
29,Kabupaten Banyuwangi,Desa Wisata Kemiren
30,Kabupaten Banyuwangi,Desa Bangsring
31,Kabupaten Banyuwangi,Desa Wisata Wringin Putih
32,Kabupaten Banyuwangi,Pantai Rajegwesi
33,Kabupaten Banyuwangi,Desa Wisata Kaliploso
34,Kabupaten Banyuwangi,Desa Wisata Sumbersari
35,Kabupaten Banyuwangi,Desa Wisata Bengkak
36,Kabupaten Banyuwangi,Desa Wisata Sumberbulu
37,Kabupaten Banyuwangi,Desa Wisata Gombengsari
38,Kabupaten Bangkalan,MUSEUM PERUSNIA
39,Kabupaten Banyuwangi,Pantai Cemara
40,Kabupaten Banyuwangi,X-Badeng Rafting Adventure
41,Kabupaten Banyuwangi,Wisata Puncak Mondoleko
42,Kabupaten Banyuwangi,Rowo Bayu
43,Kabupaten Banyuwangi,Desa Wisata Margomulyo
44,Kabupaten Banyuwangi,Desa Wisata Sumbergondo
45,Kabupaten Banyuwangi,Desa Wisata Sumberagung
46,Kabupaten Banyuwangi,Desa Wisata Sumberarum
47,Kabupaten Banyuwangi,Desa Wisata Gintangan
48,Kabupaten Banyuwangi,Desa Wisata Pakis
49,Kabupaten Banyuwangi,Desa Wisata Sragi
50,Kabupaten Banyuwangi,Kampung Primitif (Prima Inovatif)
51,Kabupaten Banyuwangi,Desa Wisata Temenggungan
52,Kabupaten Banyuwangi,Desa Wisata Kampung Anyar
53,Kabupaten Banyuwangi,Desa Wisata Agro Taman Suruh
54,Kabupaten Banyuwangi,Desa Wisata Budaya Alasmalang
55,Kabupaten Banyuwangi,Desa Wisata Budaya Aliyan
56,Kabupaten Banyuwangi,Air Terjun Jagir
57,Kabupaten Banyuwangi,Air terjun lider
58,Kabupaten Banyuwangi,Air Terjun Temcor
59,Kabupaten Banyuwangi,Air Terjun Antogan
60,Kabupaten Banyuwangi,Bangsring Under Water
61,Kabupaten Banyuwangi,De Djawatan
62,Kabupaten Banyuwangi,Ekowisata Mangrove Bedul
63,Kabupaten Banyuwangi,Pantai Grajagan
64,Kabupaten Banyuwangi,Gunung Rante
65,Kabupaten Banyuwangi,Wisata Kalibendo
66,Kabupaten Banyuwangi,Kaliklatak Perkebunan
67,Kabupaten Banyuwangi,Kalisawah adventure
68,Kabupaten Banyuwangi,Kawah Ijen
69,Kabupaten Banyuwangi,Mangrove Bengkak
70,Kabupaten Banyuwangi,Pantai Blimbingsari
71,Kabupaten Banyuwangi,Pantai Cemara Kawang
72,Kabupaten Banyuwangi,Pantai Mustika Pancer
73,Kabupaten Banyuwangi,Pantai Pulau Santen
74,Kabupaten Banyuwangi,Pantai Parang Semar
75,Kabupaten Banyuwangi,Pantai Pulau Merah
76,Kabupaten Banyuwangi,Pulau Santen
77,Kabupaten Banyuwangi,Sendang Seruni
78,Kabupaten Banyuwangi,Pantai Sukamade
79,Kabupaten Banyuwangi,Telunjuk Raung
80,Kabupaten Bangkalan,Sungai Amazon
81,Kabupaten Banyuwangi,TN Meru Betiri
82,Kabupaten Banyuwangi,Wisata Alam Banyuanyar
83,Kabupaten Banyuwangi,Wisata Goa Sodong
84,Kabupaten Banyuwangi,Wisata Mangrove Kawang
85,Kabupaten Banyuwangi,Wisata Pinus Songgon
86,Kabupaten Banyuwangi,X Badeng Adventure
87,Kabupaten Banyuwangi,Agro Expo Taman Suruh
88,Kabupaten Banyuwangi,Agro Wisata Astaga Dragon
89,Kabupaten Banyuwangi,Agro Padi
90,Kabupaten Banyuwangi,Akbar Zoo
91,Kabupaten Banyuwangi,Alam Indah Lestari
92,Kabupaten Banyuwangi,Atlanta Water Park
93,Kabupaten Banyuwangi,Blue Lagoon Swimming Pool
94,Kabupaten Banyuwangi,Taman Gandrung Terakota
95,Kabupaten Banyuwangi,Grand Harvest Pool
96,Kabupaten Banyuwangi,Grand Watudodol
97,Kabupaten Banyuwangi,Gumuk Kantong Indah
98,Kabupaten Banyuwangi,Berlian Abadi Pool
99,Kabupaten Banyuwangi,Jopuro
100,Kabupaten Banyuwangi,Mirah Fantasia
101,Kabupaten Banyuwangi,Mondoleko
102,Kabupaten Banyuwangi,Mutiara Pulau Tabuhan
103,Kabupaten Banyuwangi,Wisata Alam Kalongan
104,Kabupaten Banyuwangi,Pemandian Pancoran
105,Kabupaten Banyuwangi,Pemandian Mendut Hijau
106,Kabupaten Banyuwangi,Pemandian Taman Suruh
107,Kabupaten Bangkalan,Pantai Tlangoh
108,Kabupaten Banyuwangi,Petik Buah Naga
109,Kabupaten Bangkalan,PERAHU SARIMUNA
110,Kabupaten Bangkalan,Jembatan Harapan Bancaran
111,Kabupaten Banyuwangi,Rumah Pohon Pinus
112,Kabupaten Banyuwangi,Samudra Selfie
113,Kabupaten Bangkalan,Goa Kuning
114,Kabupaten Banyuwangi,Air Terjun Temcor
115,Kabupaten Banyuwangi,Umbul Aga Puncak
116,Kabupaten Banyuwangi,Umbul Bening
117,Kabupaten Banyuwangi,Umbul Pule
118,Kabupaten Banyuwangi,Villa Bejong
119,Kabupaten Banyuwangi,Wisata Batu Hitam
120,Kabupaten Banyuwangi,Wisata Boom Marina
121,Kabupaten Banyuwangi,Wisata Waduk Sidodadi
122,Kabupaten Banyuwangi,Green Gumuk Candi
123,Kabupaten Banyuwangi,Makam Datuk Malik Ibrahim
124,Kabupaten Banyuwangi,Makam KH. Abdullah Faqih
125,Kabupaten Banyuwangi,Museum Blambangan
126,Kota Batu,Agro Kusuma
127,Kota Batu,Wisata Pemandian Air Panas Cangar
128,Kota Batu,Batu Agro Apel
129,Kota Batu,Batu Rafting
130,Kota Batu,Goa Pandawa
131,Kota Batu,Goa Pinus
132,Kota Batu,Taman Langit Gunung Banyak Batu
133,Kota Batu,Petik Apel Makmur Abadi
134,Kota Batu,Petik Apel Mandiri
135,Kota Batu,Rafting Kaliwatu
136,Kota Batu,Sahabat Air Rafting
137,Kota Batu,Batu Night Spectacular
138,Kota Batu,Eco Green Park
139,Kota Batu,Jatim Park I
140,Kota Batu,Jatim Park II (Museum Satwa)
141,Kota Batu,Jatim Park III
142,Kota Batu,Kampoeng Kidz
143,Kota Batu,Kampung Lemah Abang
144,Kota Batu,Kampung Wisata Klungkuk
145,Kota Batu,Kampung Wisata Songgokerto
146,Kota Batu,Kampung Wisata Temas
147,Kota Batu,Mahajaya Tshirt dan Oleh - Oleh
148,Kota Batu,Mega Star Indonesia
149,Kota Batu,P. Air Panas Alam Songgoriti
150,Kota Batu,Paralayang
151,Kota Batu,Pemandian Tirta Nirwana
152,Kota Batu,Predator Fun Park
153,Kota Batu,Selecta
154,Kota Batu,Taman Dolan
155,Kota Batu,UMKM Toho Srijaya Junrejo
156,Kota Batu,Wana Wisata Coban Putri
157,Kota Batu,Wana Wisata Coban Rais
158,Kota Batu,Wisata Oleh-Oleh Arum Manis
159,Kota Batu,Wana Wisata Coban Talun
160,Kota Batu,Wisata Oleh - Oleh Brawijaya
161,Kota Batu,Wisata Oleh - Oleh De Duwe
162,Kota Batu,Wonderland Waterpark
163,Kota Batu,Candi Songgoriti
164,Kota Batu,Museum Angkut
165,Kota Batu,Vihara Dammadhipa Arama
166,Kota Batu,Kampung Wisata Kungkuk
167,Kota Batu,Desa Wisata Tulungrejo
168,Kota Batu,Desa Wisata Sidomulyo
169,Kota Batu,Desa Wisata Sumberejo
170,Kota Batu,Desa Wisata Oro-Oro Ombo
171,Kota Batu,Desa Wisata Songgokerto
172,Kota Batu,Desa Wisata Sumber Brantas
173,Kota Batu,Desa Wisata Pandanrejo
174,Kota Batu,Desa Wisata Torongrejo
175,Kota Batu,Desa Wisata Gunungsari
176,Kota Batu,Desa Wisata Wisata Temas
177,Kota Batu,Desa Wisata Junrejo
178,Kota Batu,Desa Pesanggrahan
179,Kota Batu,Desa Giri Purno
180,Kota Batu,Kampung Wisata Ngaglik
181,Kota Batu,Kampung Wisata Sisir
182,Kota Batu,Desa Mojorejo
183,Kota Batu,Desa Wisata Sumbergondo
184,Kota Batu,Desa Wisata Bulukerto
185,Kota Batu,Desa Wisata Beji
186,Kota Batu,Desa Wisata Tlekung
187,Kota Batu,Desa Wisata Pendem
188,Kota Batu,Kampung Wisata Dadaprejo
189,Kota Batu,Desa Wisata Bumiaji
190,Kota Blitar,Agrowisata Belimbing Karangsari
191,Kota Blitar,Goa maria Sendag Rejo
192,Kota Blitar,Telaga Nirmala
193,Kota Blitar,Telaga Sumala
194,Kota Blitar,Fish Garden
195,Kota Blitar,Green Park Bendogerit
196,Kota Blitar,Green Park Sentul
197,Kota Blitar,Kampung Afrika
198,Kota Blitar,Kampung Bathok
199,Kota Blitar,Kampung Kendang Sentul
200,Kota Blitar,Kebon Rojo
201,Kota Blitar,Pemandian Herlingga Jaya
202,Kota Blitar,Waterpark Sumber Udel
203,Kota Blitar,Istana Gebang
204,Kota Blitar,Makam Aryo Blitar
205,Kota Blitar,Makam Bung Karno
206,Kota Blitar,Perpustakaan Bung Karno
207,Kota Blitar,Kampung Wisata Karangsari
208,Kota Blitar,Kampung Kerajinan Batok Tanjungsari
209,Kota Blitar,Kampung Wisata Sentul
210,Kota Blitar,Kampung Bendogerit
211,Kota Blitar,Kampung Wisata Tanggung
212,Kota Blitar,Kampung Wisata 3D Bongares
213,Kota Blitar,Kampung Kuliner Lawu
214,Kabupaten Blitar,Arca Ganesha Boro
215,Kabupaten Blitar,Arca Gaprang
216,Kabupaten Blitar,Arca Warak
217,Kabupaten Blitar,Candi Bacem
218,Kabupaten Blitar,Candi Gambar Wetan
219,Kabupaten Blitar,Candi Kalicilik
220,Kabupaten Blitar,Candi Kotes
221,Kabupaten Blitar,Candi Penataran
222,Kabupaten Blitar,Candi Plumbangan
223,Kabupaten Blitar,Candi Punden Sari
224,Kabupaten Blitar,Candi Rambut Monte
225,Kabupaten Blitar,Candi Sawentar 1
226,Kabupaten Blitar,Candi Sawentar 2
227,Kabupaten Blitar,Candi Selotumpuk
228,Kabupaten Blitar,Candi Simping / Sumberjati
229,Kabupaten Blitar,Candi Sirah Kencong
230,Kabupaten Blitar,Candi Sumberagung
231,Kabupaten Blitar,Candi Sumbernanas
232,Kabupaten Blitar,Candi Tepas
233,Kabupaten Blitar,Candi Wringin Branjang
234,Kabupaten Blitar,Gong Kyai Pradah
235,Kabupaten Blitar,Kekunaan Jimbe
236,Kabupaten Blitar,Museum Penataran
237,Kabupaten Blitar,Pertapaan Kilisuci
238,Kabupaten Blitar,Petilasan Mleri
239,Kabupaten Blitar,Prasasti Jajar
240,Kabupaten Blitar,Prasasti Jaring
241,Kabupaten Blitar,Prasasti Munggut
242,Kabupaten Blitar,Situs Balekambang
243,Kabupaten Blitar,Situs Gadungan
244,Kabupaten Blitar,Situs Slumbung
245,Kabupaten Blitar,Situs Sukosewu
246,Kabupaten Blitar,Situs Tapan
247,Kabupaten Blitar,Vihara Bodhigri
248,Kabupaten Blitar,Wisata Religi Kuningan
249,Kabupaten Blitar,Air Terjun Sirah Kencong
250,Kabupaten Blitar,Air Terjun Umbulwaru
251,Kabupaten Blitar,Bukit Bonsai Watu Lawang
252,Kabupaten Blitar,Goa Embul Tuk
253,Kabupaten Blitar,Hutan Pinus Gogoniti
254,Kabupaten Blitar,Hutan Pinus Loji
255,Kabupaten Blitar,Kebun Kopi Karanganyar
256,Kabupaten Blitar,Lekso Tubing Adventure
257,Kabupaten Blitar,Pantai Gayasan
258,Kabupaten Blitar,Pantai Jolo Sutro
259,Kabupaten Blitar,Pantai Pangi
260,Kabupaten Blitar,Pantai Pasir Putih Gondomayit
261,Kabupaten Blitar,Pantai Pehpulo
262,Kabupaten Blitar,Pantai Serang
263,Kabupaten Blitar,Pantai Tambak Rejo
264,Kabupaten Blitar,Paralayang Gunung Pegat
265,Kabupaten Blitar,Pendakian Gn. Kelud
266,Kabupaten Blitar,Perkebunan Sirah Kencong
267,Kabupaten Blitar,Rambut Monte
268,Kabupaten Blitar,Badher Bank
269,Kabupaten Blitar,Blitar Park
270,Kabupaten Blitar,Bukit Bunda
271,Kabupaten Blitar,Bukit Telletubies
272,Kabupaten Blitar,Istana Sakura
273,Kabupaten Blitar,Jati Park
274,Kabupaten Blitar,Kaloka Lodoyo
275,Kabupaten Blitar,Kampung 1001
276,Kabupaten Blitar,Kampung Coklat
277,Kabupaten Blitar,Kampung Wisata Turi Putih
278,Kabupaten Blitar,Kawasan Wisata Ngreco Lahor
279,Kabupaten Blitar,Kawasan Wisata Olak-Alen
280,Kabupaten Blitar,Kesambi Trees Park
281,Kabupaten Blitar,Kolam Renang Penataran
282,Kabupaten Blitar,Konyar Hill
283,Kabupaten Blitar,Monumen Trisula
284,Kabupaten Blitar,Taman Ayu Gogoniti
285,Kabupaten Blitar,Umbul Suko Sewu
286,Kabupaten Blitar,Wisata Negeri Dongeng
287,Kabupaten Blitar,Desa Wisata Plumbangan
288,Kabupaten Blitar,KWE Puspa Jagad
289,Kabupaten Blitar,Desa Wisata Penataran
290,Kabupaten Blitar,Desa Wisata Karangrejo
291,Kabupaten Blitar,Desa Wisata Tumpak Kepuh
292,Kabupaten Blitar,Desa Wisata Sumbersari
293,Kabupaten Blitar,Desa Wisata Ngadirenggo
294,Kabupaten Blitar,Desa Wisata Krisik
295,Kabupaten Blitar,Desa Wisata Plosorejo
296,Kabupaten Blitar,Desa Wisata Sumbersih
297,Kabupaten Blitar,Desa Wisata Serang
298,Kabupaten Blitar,Desa Wisata Sawentar Lawang Wentar
299,Kabupaten Blitar,Desa Wisata Tawangrejo
300,Kabupaten Blitar,Kampung Wisata Penangkilan
301,Kabupaten Blitar,Desa Wisata Kebonagung
302,Kabupaten Blitar,Desa Wisata Kuningan
303,Kabupaten Blitar,Desa Wisata Kemirigede
304,Kabupaten Blitar,Desa Wisata Bumirejo
305,Kabupaten Blitar,Desa Wisata Karangsono
306,Kabupaten Blitar,Desa Wisata Begelenan
307,Kabupaten Blitar,Desa Wisata Tulungrejo
308,Kabupaten Blitar,Desa wisata Ringinrejo
309,Kabupaten Blitar,Desa Wisata Tambakrejo
310,Kabupaten Blitar,Desa Wisata Ngadipuro
311,Kabupaten Bojonegoro,Agrowisata Belimbing
312,Kabupaten Bojonegoro,Agro Wisata Jambu padang
313,Kabupaten Bojonegoro,Agroguna
314,Kabupaten Bojonegoro,Agrowisata salak Wedi
315,Kabupaten Bojonegoro,Argo Wisata Salak Tanjungharjo
316,Kabupaten Bojonegoro,Air Terjun Krondonan
317,Kabupaten Bojonegoro,Banyu Kuning
318,Kabupaten Bojonegoro,Bukit Kopen
319,Kabupaten Bojonegoro,Bukit Tono
320,Kabupaten Bojonegoro,Growgoland
321,Kabupaten Bojonegoro,Gunung Jati
322,Kabupaten Bojonegoro,Gunung Watu
323,Kabupaten Bojonegoro,Kayangan Api
324,Kabupaten Bojonegoro,Kedung Maor
325,Kabupaten Bojonegoro,Kracaan Ngraho
326,Kabupaten Bojonegoro,Waduk Grobogan
327,Kabupaten Bojonegoro,Waduk Pacal
328,Kabupaten Bojonegoro,Watu Gandul
329,Kabupaten Bojonegoro,Go Fun
330,Kabupaten Bojonegoro,Kedung Moar
331,Kabupaten Bojonegoro,Mumbul Kalianyar
332,Kabupaten Bojonegoro,Negeri Atas Angin
333,Kabupaten Bojonegoro,Outbond Toyoaji
334,Kabupaten Bojonegoro,Penangkaran Ruso Malo
335,Kabupaten Bojonegoro,Pethuk Kreweng
336,Kabupaten Bojonegoro,Rumah Singgah
337,Kabupaten Bojonegoro,Rumah Tua Padangan
338,Kabupaten Bojonegoro,Taman Pinggir Gawan
339,Kabupaten Bojonegoro,Wana Wisata Dander
340,Kabupaten Bojonegoro,Wisata Blok M Semawut
341,Kabupaten Bojonegoro,Wisata Edukasi Gerabah
342,Kabupaten Bojonegoro,Wisata Edukasi Mojodeso
343,Kabupaten Bojonegoro,Wisata Edukasi Pejambon
344,Kabupaten Bojonegoro,Wisata Migas Wonocolo
345,Kabupaten Bojonegoro,Masyarakat Samin
346,Kabupaten Bojonegoro,Petilasan Angling Dharma
347,Kabupaten Bojonegoro,Wali Kidangan
348,Kabupaten Bojonegoro,Desa Wisata Mojo
349,Kabupaten Bojonegoro,Desa Wisata Mayanggeneng
350,Kabupaten Bojonegoro,Desa Wisata Tanjungharjo
351,Kabupaten Bojonegoro,Desa Wisata Sumberarum
352,Kabupaten Bojonegoro,Desa Wisata Mojodeso ( Desa Wisata Edukasi)
353,Kabupaten Bojonegoro,Desa Wisata Bendo (Kuliner Kebon Salak)
354,Kabupaten Bojonegoro,Desa Wisata Ngunut
355,Kabupaten Bojonegoro,Desa Wisata Dander
356,Kabupaten Bojonegoro,Desa Wisata Kedungsumber
357,Kabupaten Bojonegoro,Desa Wisata Sendangharjo
358,Kabupaten Bojonegoro,Desa Wisata Deling (Negeri Atas Angin)
359,Kabupaten Bojonegoro,Desa Wisata Rendeng
360,Kabupaten Bojonegoro,Desa Wisata Teksas Wonocolo
361,Kabupaten Bojonegoro,Desa Wisata Sambungrejo
362,Kabupaten Bojonegoro,Desa Wisata Krondonan
363,Kabupaten Bojonegoro,Kampung Samin Margomulyo
364,Kabupaten Bojonegoro,Desa Wisata Jono
365,Kabupaten Bojonegoro,Agrowisata Belimbing Ngringinrejo
366,Kabupaten Bondowoso,Kebun Kopi Kalisat Jampit
367,Kabupaten Bondowoso,Air Terjun Blawan
368,Kabupaten Bondowoso,Air terjun Gentongan
369,Kabupaten Bondowoso,Air Terjun Goa Tunggal
370,Kabupaten Bondowoso,Air Terjun Tancak Kembar
371,Kabupaten Bondowoso,Arung Jeram Bosamba
372,Kabupaten Bondowoso,Batu So'on Solor
373,Kabupaten Bondowoso,Bosamba Rafting
374,Kabupaten Bondowoso,Bukit Mahadewa
375,Kabupaten Bondowoso,Hutan Pelangi Sumberwringin
376,Kabupaten Bondowoso,Kalipait
377,Kabupaten Bondowoso,Kawah Ijen
378,Kabupaten Bondowoso,Kawah Wurung
379,Kabupaten Bondowoso,Black Lava Plalangan
380,Kabupaten Bondowoso,Patirana P28
381,Kabupaten Bondowoso,Pemandian Air Panas Blawan
382,Kabupaten Bondowoso,Pemandangan Arak Arak
383,Kabupaten Bondowoso,Pendakian Gunung Raung
384,Kabupaten Bondowoso,Perkebunan Kopi Arabica
385,Kabupaten Bondowoso,Puncak Megasari
386,Kabupaten Bondowoso,Potreh Koning
387,Kabupaten Bondowoso,River Tubing Tlogosari
388,Kabupaten Bondowoso,Guest House Jampit
389,Kabupaten Bondowoso,Pemandian Al Amin
390,Kabupaten Bondowoso,Pemandian Air Panas Blawan
391,Kabupaten Bondowoso,Pemandian Tasnan Baru
392,Kabupaten Bondowoso,Pemandian Renang Karisma
393,Kabupaten Bondowoso,Pemandian Kelapa Gading
394,Kabupaten Bondowoso,Pemandian WOW Putra Demang
395,Kabupaten Bondowoso,Pusat Informasi Megalitik Bondowoso
396,Kabupaten Bondowoso,Kebun Raya Silvopastura Sumber Salak
397,Kabupaten Bondowoso,Rest Area Saung Naga
398,Kabupaten Bondowoso,Wisata Bukit Luwih
399,Kabupaten Bondowoso,Wisata Desa Agrapana
400,Kabupaten Bondowoso,Wisata Desa Kave Melok
401,Kabupaten Bondowoso,Sky Garden Wonoboyo
402,Kabupaten Bondowoso,Wisata Rumah Selfie Penambangan
403,Kabupaten Bondowoso,Batik Sumbersari / The Waroeng
404,Kabupaten Bondowoso,Goa Bhuto Sumber Wringin
405,Kabupaten Bondowoso,Makam Ki Ronggo
406,Kabupaten Bondowoso,Makam Kiai Mas Prajekan
407,Kabupaten Bondowoso,Makam Mbah Singo
408,Kabupaten Bondowoso,Museum Kereta Api Bondowoso
409,Kabupaten Bondowoso,Padepokan Seni Gema Buana
410,Kabupaten Bondowoso,Situs Banyu Putih
411,Kabupaten Bondowoso,Situs Glingseran
412,Kabupaten Bondowoso,Situs Pakauman
413,Kabupaten Bondowoso,Situs Pujer
414,Kabupaten Bondowoso,Situs Sukosari
415,Kabupaten Bondowoso,Situs Sumber Wringin
416,Kabupaten Bondowoso,Situs Tanah Wulan
